-225 8.3 4.7
-205 5.8 4.3
-195 12.8 3.3
-185 10.6 2.5
-175 10.9 3.1
-165 9 2.2
-155 4.4 2
-145 1.2 1
-135 1.7 0.9
-125 0.1 0.5
-115 0.1 0.5
-105 1 1.2
-95 16.8 3.6
-85 33.7 4.2
-75 54.1 5.2
-65 84.3 6.7
-55 120.2 10
-45 157.2 10.9
-35 210.2 16.9
-25 249.2 20.1
-15 308.2 49.5
15 237 16.3
25 214 8.5
35 162.8 5.2
45 126.5 3.5
55 93.8 2.6
65 75.2 2.2
75 42 5.6
85 33.2 2
95 22 1.3
105 15.5 1.1
115 11.4 1.1
125 7.5 1.2
135 9.9 0.7
145 10.1 0.5
155 10.2 0.5
165 8.4 0.6
175 8.6 0.7
185 6.3 0.6
195 4.4 0.9
205 4.3 0.5
215 3.6 0.2
225 2.5 0.2
235 1.9 0.1
245 1.5 0.2
255 0.9 0.1
265 0.4 0.1
